idx,Score,Text
48,Neutral,"Shu chek xam, piyeda 10 000 metr yurganli aksiyasiga uxshidi..."
49,Negative,"Kundalik degan programmani utkazdiku?? Nega xalkdan pul olishka ishlaydiyu, xalkka berishga ishlamaydi!!!"
50,Positive,Shuniyam yulini topishibdi molodets ana yangilik!
51,Neutral,Jaxangir Sultanov
52,Neutral,davomiy bo’lsin
53,Neutral,Yusufbay Khudaybergenov
54,Negative,Ana boshlandi moshenniki
55,Negative,"Pidaraslar bermayaptiku katta katta supermarketlard
a chekni shtrix kodi bilan, fakat shunday chek chikaradigan kassa apparatlari kuyish kerak majburiy kilib"
56,Neutral,Koʻtbiyev
57,Neutral,pogonlimi?
58,Neutral,Xavfsizlikdan o'tgan kadrmi shu inson!?
59,Positive,Alloh xayirli va toʻgʻri yoʻlda sobit qadam qilsin
60,Positive,"Qalbini musulmonlarga yumshoq qilgin haq dinni bildirgin Hidoyat nasib qilgin ,sajda qilguvchilardan
qilgin .Amin ya Robbil A‘lamin ."
61,Neutral,Diynga xizmatmi yeki shaxsgami?
62,Positive,Ilgari kilsin Davron aka fakat ishizga omad!!!
63,Negative,Puln.. xalolab.. ol.. mujik
64,Neutral,Dilmurod. Abdullayev
65,Neutral,Bizning domlayu. Farmada dars bergandi bizga.
66,Neutral,"Va Aleykum Assalom
Dindan xabardor mi"
67,Positive,Tabriklimiza oka
68,Positive,"Alloh xayrli qilsin xayrli amallarda peshqadamlardan
qilsin ! "
69,Positive,Maqsud aka Alloh hayrli qilsin
70,Positive,"UZ TV DA ALOXIDA KANAL OChIShNI YULGA KUYSA YaXShI BULARDI. KORILAR URTASIDA MUSOBOKALAR TAShKIL KILINSA.
PREZIDENT TAShABBUSI BILAN 2017-2018 UTKAZILGANDI. KEYIN UTKAZILMADI ,NIMAGADIR..."
71,Positive,Assalamu alaykum
72,Neutral,"Avvallari diniy ishlar buyicha axli ilmlar shugullanarmidi.
."
73,Neutral,Allox soqollariga baraka bersin
74,Positive,"Inna Lillaxi va Inna Ilayxi rojiun.
Allox raxmat qilsin.
Oila azolariga sabr tilaymiz."
75,Positive,"Inna lillaxi va inna ilayxi rojiun!

Odam nima deyishga xam xayron bularkan bu rasmlarini kurib"
76,Positive,Ochen krasivaya artistka!!!
77,Positive,"Joylari firdavs jannatlarda', oxiratlari obod bulsin"
78,Positive,Allox rahmatiga olsin amin
79,Positive,"Olloxim uzi raxmat kilsin iloxim, farzandlariga chiroylik sabir bersin Olloxim,Omin Alloxu Akbar"
80,Positive,"Inna lillaxi va inna Ilayhi rojiun, oxiratlari obod boʻlsin yaqinlariga Sabr toqat tilayman, taʼziyamni qabul qiling."
81,Positive,Oxiratlari obod boʻlsin
82,Positive,Svetlaya pamyat.
83,Positive,Xudo raxmat kilsin
84,Positive,Joylari jannatdan bulsin
85,Positive,Joylari jannatda bulsin
86,Positive,"Iloxim joylari jannatdan bulsin, yakinlariga sabir tilayman"
87,Positive,Inna lillaxi va inna ilayxi rojiun!
88,Positive,"Inna lillaxi va inna ilayxi rojiʼun.!!!
Oxiratlari obod.
Joylari jannatdan bulsin."
89,Positive,Joylari jannatda boʻlsin
90,Positive,Olloh rahmat qilsin
91,Positive,Ohirati obod bo‘lsinlar
92,Positive,Inna lillaxi va Inna ilayxi rojiʼun
93,Positive,"Inna lilloxi va inna ilayxi rojiyun,,, oxiratlari obod bulsin,,, "
94,Positive,Joylari jannatdan bulsin Omin
95,Positive,Allox raxmati jannati kilsin
96,Positive,Oxiratlari obod bulsin omin
97,Positive,Oxiratlari obod bulsin
98,Positive,OLLOX RAXMAT KILSIN.
99,Positive,Alloh rahmatiga olsin
100,Positive,OLLOX RAXMATIGA OLGAN BULSIN.OMIN
101,Positive,Olloh Rahmat qilsin
102,Positive,Allox raxmat kilsin.
103,Neutral,Izrailda yashirmidi
104,Positive,Oxiratlari obod joylari janatdan b.sin iloxim
105,Positive,Yuzi tula gach bich nura.chiroyli karish nasib kisin.
106,Neutral,Nega commentlar yuq
107,Positive,Joylari jannatdan bulsin Illoxim
108,Positive,Bandalik Inna lillaxi va inna ilayxi rojiun
109,Positive,Inna Lillaxi va Inna Ilayxi rojiun.
110,Positive,Inna Lillaxi va Inna Ilayxi Roʼjiun
111,Neutral,Bizga ham nasib qilsin egizaklar
112,Neutral,"Islom, Abdugʻani, Gulnora, Lola.... (yoki men zamondan orqada qoldimmi...)"
113,Neutral,Svetы v detskom otdelenii?
114,Neutral,"Umrlari uzok,, turt muchasi sog bulsin,,,, ismlari uzla riga mos bulsin,, "
115,Positive,Kobalt berilsin!
116,Positive,Mashaolloh
117,Negative,Ismlari anik...lek moshinga schet yuk
118,Positive,Umri rizki ota onasi bn barakotli farzandlar bulsin
119,Negative,Norm ism kuyilare laganbardorlik kimastan
120,Neutral,Uzimam ettim nega gishdan suyak buleklari chikvotti deb!))
121,Negative,Oxiri tikilib uladi
122,Neutral,Oʻzi sotilmagan biror narsa qoldimi..
123,Negative,Bular yeb tuymaydi. Madaniyatni oyek osti kilayetganlar xor buladi keyin albatta
124,Negative,Toming ketmay o'lsin
125,Negative,Pul busa prizident karoriyam bir tigin bulib koldi Uzbekistonda
126,Negative,"Ujasno.daxshatku
.kelgusi avlodga kolishi kkmasmi bu obidalar."
127,Negative,"Tarozini bir pallasida kanakadur yodgorlik ikkinchi pallasida gisht uchun joy, albatta gisht uchun beriladide. Gisht ogir va kimmatku"
128,Negative,Uyam odam uyam zorrrr ucaskalada yawagisi malibula ogisi keladi
129,Neutral,"1. Zudlik bilan maʼmuriy ish ochilsin.
2. Eng kamida 8 mln. sum jarimaga tortilsin."
130,Negative,Xiva bilan Buxorodayam qalʼa devorlari bor - bir necha yuz gʻisht zavodlarini taʼminlayoladi agar sotsanglar
131,Negative,"Vazirlikka kompetentlik yetishmaydi. Tugrisini kursatolmasang,
nega burttirilgan maʼlumot tarkalishiga yul kuyasan? Xar kanday imperiya tuzilishda kurbonliklar buladi, lekin Amir Temur nisbatan adolatli, Xudojuy va taslim bulgan yurtni xonavayron kilmagan sarkarda xisoblanadi. Tasavvur kilaolarmikan bu vazirlikdagi axmoklar Rossiyada Pyotrni konxur deb, Turkiyada Sulton Sulaymonni bollarining jallodi deb yoki xattoki Mugulistonda Chingisxonni jallod deb chikishlariga yul kuyilishini? Sal ori bor odam yomonini yashirib yaxshisini oshirib kursatadi, bular esa teskarisini kilishgan."
132,Neutral,. Temur bulmaganida kimdir bosib olardi. Kaytaga katta serial ishlash kerak dunyo lol koladigan kilib.
133,Positive,"Assalomu-alayku
m.
Sohibqiron Amir Temur hazratlari bilimli, adolatli, ilohiy kuch-qudratga ega va islom dinining haqiqiy himoyachisi, homiysi boʻlgan buyuk insondir.
Kuchli markazlashgan davlat tuzmaganida har tomondan turli dushmanlar bosqinidan xalqimiz va zaminimiz xonavayron boʻlardi.
Yaratgan oʻsha zamonda shunday zabardast insonni xalq va davlat tepasiga olib keldi demak, bu bejizga emas.
Oʻsha piarchilar Temur tuzuklarini oʻqib xulosa chiqarish va haqiqatni tan olish lozim."
134,Neutral,"Biz kelishib pulini olganmiz, o'lgan odam o'lib ketdi, indamay ko'rilar, yillar o'tib birinchi prezident haqida ham shunaqa kino olinsa ajablanmaylar degan munosabat bildiribdi..."
135,Negative,"Tepadagi raxbarlar bir biri bilan kim kuprok va uyatlirok kovun tushirish buyicha musoboka utkazivoti shekilli,bir karasang serial uyatsiz yaxshilab tekshirsa korrupsiiyaga aralashgan raxbar va oila azolari bulib chikdi. Turizm raxbarini xam bu klip uchun kovlab kurilsa manaviy zarar ortidan manimcha moddiy zarar xam kelib chiksa kerak. Bu klip kursatishni kachon takiklashar ekan yeki bu masala buyicha biror bir katokon aralashishi shartmikan. Madaniyat vazirligi degan tashkilot bor edi xar doimgidek jim vazir tuyda bulsa kerak tirikchilikni aybi yuk."
136,Neutral,"Men bundan yemon bizni xalkimizni va butun turk dunesini xakorat kilishni kurmadim desam xato kilmasam kerak . Xozirgi zamonda kimdur masalan Putinni konxurlik kattikkullik yeki xatto rus dunesida Stalinni aytib kursin nima kilishadi xatto bu insonlar ruslarga xam ziyen keltirgan bulsa xam xozirgi Rossiya sistemasi buni ximoya kiladi . Orimiz grurimiz bulishi kerak va biz uchun bizni turizm uchun bunaka reklamalar kerak emas va bu reklamani tashkillashtirgan
odamlar jamiyatimiz davlatimiz nafratiga uchrashi shart"
137,Negative,Ulganlaring yaxshi bu kuningdan.
138,Neutral,"Rasmiy fikr tugri. Biz tan olmaganimiz bilan butun duneda Amir Temur xakida shunaka mallumotlar bor, buni inkor kila olmaymiz. Bunaka malumotlar kupchilikni uziga jalb kilishni bir usuli."
139,Neutral,"-Gulmisiz, bulbulmisiz, janbulmisiz?
-Aytganingizman
.
-Unda men sizni o‘xshatdim.
-Nimaga o‘xshatdingiz?
-Sapp-sariq bb balog‘idan oqib turgan bolaga nega KAKA qilib qo‘yding deb urishsang,
AA yo‘q deb spakoyniy qarab turgan Mard bolaga "
140,Neutral,Amerika kitʼsidagi kuplab indeyes kabilalari kirilib ketishiga Amir Temur bobomizning alokasi yuk-ku! Menimcha suratga olishsa bulardi.
141,Negative,"Man nimadir deb komment yozuvdim, ""nepriyemlemыy"",
""yesli chto bloklanasiz"" deb ogoxlantirishdi 
Amerikada suz erkinligi borligiga ishonmasdim, endi yana bir bor amin buldim "
142,Neutral,"Bilsa hazil, bilmasa chin boʻldiku, buyogʻi!"
143,Neutral,Eng kichik 18 yoshli oʻgli vaxshiylarcha oʻldirgan ekan.
144,Neutral,"Tarixni yaxshi tushunadiganlar javob bersinchi, qaysi tarixiy xukumdor qonhoʻr boʻlmagan? Mamlakatda tartib oʻrnatish uchun qilich qalqon qoʻllaniladi albatta."
145,Neutral,Shamol bulmasa daraxtni uchi kimirlamiydi dganlaridek balkim tugridur
146,Neutral,"Har bir xalq uz tarixini maqtab bortirib yozishga harakat qiladi
Biz Amir Temurni buyuk sarkarda adolatli bobomiz db uluglaymiz aaa chingizxonni qonxor bosqinchi db yozamiz mogular esa A. Temurni bosqinchi qonxor kallakesar db chingizxonni uzlarini ulug bobosi adolatli sarkarad db ulugliydi!"
147,Neutral,"Amir Temur sarkarda boʻlgan,Chingizx
on,Makedonskiy,
Napoleon kabi.Arab xalifaligi ham qilich kuchi bilan qurilgan,barcha
imperiyalar urush orqali tuzilgan."
148,Neutral,"Sarkarda,jaxong
ashda bolganidan keyin nima bolsin yana???? Misol uchun Gruzyada 700 ming ga yaqin insonni islom qoidalariga amal qilmagani uchun oldirgan. Jang qilgandan keyin oldiradida!!!"
149,Neutral,"Xoʻsh,shunday deyishibdi rolikda,bundan Amir Temurga nima naf yoki ziyon?.Temur kim boʻlgan,nima qilgan u uchun oʻzi javob beradi.Aynan evropaliklar bilan suhbatlashing,h
ech biri Temur haqida ijobiy fikr bildirmaydi.Biz
esa Temurni millat qahramoni deb bilamiz.Amir Temur biz uchun ulkan meros qoldirgan."
150,Neutral,Togrida. Nega ulim otasi bularmish
151,Neutral,Bu klida tarih yozilmayapdi yoki muhokamo qilinmayapdi. Indian Jones va uncharted ni qanaqa obrazli filimlar yani fantaziya- sarguzasht filimlarda rol uynaydi... buni hech kim haqqiy tarih deb qabul qilmaydi bu kino fanatlari. Bu klipda faqat tourismni rivojlantirish uchun qilingan.
152,Positive,Rolik tashqi turizm rivoji uchun yaxshi reklama boʻlibdi.
153,Negative,"Iya Oʻzbekiston ichida ayni bir gapni gapirsang chalgʻitishu.. Lekin boshqalar videoga olib dunyoga tarqatishi turist jalb qilish boʻlarmikan..
Ee oʻlvora deydigan yoʻq..."
154,Neutral,"Eng osoni, man emas ular!"
155,Negative,Munosabat bildirgandan koʻra u isqirtlarni jinoiy javobgarlikka tortish kerak. Munosabat bildirgan bilan yoki u isqirtlarni tanqid qilgan bilan nima oʻzgaradi? 
156,Neutral,Rolikni oxirida kimga aloxida raxmat deb yezildi ukidilarmi uzi .?
157,Neutral,Oʻz oʻzidan olinib qolmagandir bu reklama?
158,Negative,Odam uldirgandan keyn nima desin
159,Negative,Badiiy tukima ortidan ajdodlarimizni yomonotlik kiladigan bunday vazirlikni tarkatib yuboringlar!
160,Negative,Millat hoinlari doim bolgan. Qiyomatgacha ham boladi. Registonda muqaddas madrasada yahudlar aroqichib raqa tushib bayram qilishdi yaqinda. Madrsani hor qilgan Amir Temur sharafini himoya qilmaydi. Alloh kifoya qilsin millatimiz hoinlariga. Bu hiyonat. Ertaga bu tvarlar dushmanga pul evaziga darvozalarimiz kalitini sotadi.
161,Negative,Xulas kotiga tepildi dipoyorilar xadib undan ketti bundan ketti dib yozorme
162,Neutral,"Xayirga vasila kilsin.dinimizg
a yaxщi xizmatlar nasib bulsin.yaxshi inson bu kishi Inщa Allox taolo"
163,Positive,Tabriklayman Muzaffar aka
164,Positive,"Dústlar Omon búsinlar, Tabriklayemiz Muzaffar akam ishlarizga omad xolos Olga kúz tegmasin Okam."
165,Positive,Iqtisod Universitetida pro rektor bolib ishlaganlar. Juda ilimli muomilari inson.
166,Negative,"Bizda shunaqa, uyerdan buyerga, buyerdan uyerga , yangi kadrlar oʻlgan"
167,Positive,Muzaffar aka. Tabriklayman. Martabangiz yanada ulug bulsin. Doimo Ollox uzi Sizni kullab yursin.
168,Neutral,Biri keladi boashqasi ketadi va yana yana usha disk aylanadi
169,Neutral,Shoazim deganning boʻshagani yaxshi boʻlibdi
170,Positive,Endi Oka umra xajlarni tariflarini kamaytirishga uz xissalarini kushsadar kerak deb uyliman
171,Positive,Juda yosh gayratli kadrlarimiz borda uz amalini saklab kolishmokda
172,Neutral,Diynga xizmatmi yeki shaxsgami?
173,Positive,Joning sogʻ bosin inshaallax qiyomatda xisobiga chidagin bu lavozimni masuliyatidan...
174,Negative,"Uzi buyogini evlab quyishibdiyu .
Karrillaganiga ulaymu"
175,Negative,Chuzib kuysin karzini
176,Negative,"Oʻzi xech ishni xal qilolmaydiku,Xo
kim bova imzo chekmasa."
177,Negative,"Oladida Endi Nima Kisin Uni xam tirikchiligi borda axir, kotta bollarni mashinasidan olishi kerak 2-xotiniga uy kilib berishi kerak oladida Nima Kisin Endi be....a"
178,Negative,bu ushlangani . ushlanmagani nech mingtekin. kachon bu korrupsiya tugatilarkin.
179,Negative,"Shunga shunchami axir bechora XALK,NI deb yuribtiku bilmi kogande endi bitta UZR tamom....."
180,Negative,"Xokimi farishta, yerdamchilari yoppa poraxur"
181,Negative,"Soqqani cheriz Qo'yliq usha hokimlarni o'zlari oladi lekin bechora ishchidan kuryer sifatida foydalanadi
Men olsam ancha narsa yuqotaman sen tushib qolsang ham qutqarivolaman deb aldaydi"
182,Negative,XAROMXO'RLAR!!!
183,Neutral,Nakonets to. Ura ura ura
184,Negative,Bu xokimlarxam pora bilan tusharmikan?
185,Negative,Xokim olmabdimi undanam kupini oladi tepaga beradi.
186,Negative,Oʻzi xokimyat va yana bitta ikkita tashkilot olayapti. Anigku
187,Negative,"Uzr suraydi, bilmay kolgandir, kuyib yuboringlar"
188,Negative,Tikilib.ulsin xoromxurlar
189,Negative,Charchamadi bu xokimlar uyat pora ovurib sharmandalar
190,Negative,"Holvani hokim,kaltakni yetim yeydi degandek boʻlibdida......"
191,Negative,Asaka xaob bulib yotibdi shunaka masullarni deb
192,Negative,Oddiy holatku hayron qoladigan joyi yoʻq
193,Negative,"Darrov 15 sutka va kechirim so'ralsin. Xo'kkizday odam ""bilmay"" qolishi mumkunku."
194,Negative,Shu xam yangilimi boshka tuzuro yangilik yukmi
195,Negative,Qamasin Ana endi 15-20 yilga ko'riylu oynay jahonda
196,Negative,qoyila akala 8 mingayam ushlislami insofila bomi
197,Negative,Xokimlarga mazza tinch sokin asablari dam oladi.
198,Negative,Oʻzi monopoliyani boshlanishi Asakadan chiqan 
199,Neutral,Yana mayda baliq qarmoqqa tushibdi
200,Neutral,Mutassadilar kuzatilsin.
201,Negative,Xokimiyatda gaaap kupakande....
202,Negative,Kani 20yil berilsin shunga
203,Neutral,ismini tulik yozing
204,Neutral,Odamlarda pul kup shunda
205,Negative,"Birinchi 20 yilda qaraladigan porahoʻr ushlanibdida.
Qiziq, butun hokim movunlari qoʻlga olib xokim suvdan qoʻruq chiqadiya.
Xar xolda 20 yil jazoni eshitib kimning koʻrsatmasiga asosan uyushtirganini tergov jarayonida ayta ajov emas."
206,Negative,Joning sogʻ bosin magshayam soqqani bos uzingayam soqqani bos uka (Viloyat xokimi)
207,Neutral,"Manimcha yolgʻon boʻlsa kerak, agar rost boʻlsa toliblaram tamom boʻpti"
208,Negative,"Neujeli,,, neujeli,,, "
209,Neutral,Vo ajab ..
210,Neutral,"Alixontӯra Shokirjon Ӯgʻli, nega unday qildinglar?"
211,Neutral,Ayollar akl borasida erkeladan aslo kam emas.(xatto ayrimlaridan kura akllirok!) Balki usha tolibonla shuni tushunib yetishgandir.
212,Negative,Tolibbonlar Sadik xam ochib olsin Bezneslari Rivojlanib ketadi
213,Neutral,bunisi kanaka buldi endi toliblarda ayolar davlat ishda ishlamidi degandiku Alixontura nega bunaka kilishyapti akalariz
214,Neutral,Bular xam yetib kelibdi. Xali xammasi oldinda.
215,Neutral,Chto to ne veritsya
216,Negative,Qogirchoq rahbar boladi bular ham
217,Neutral,Zurku
218,Negative,2023 yilgacha pensiyanerlar tirnagʻini tishlab yeidi balkim ulib ketar .
219,Neutral,+ yana Pensiya yoshini kiskartirishni ishlab chikingla
220,Negative,"Pensiya oladigan inson vafotidan kiyin farzandlariga berilarmikin yoki yana 5 6 yilga uzaytirdilaring
mi,?
Pensiya yoshini?"
221,Neutral,Pensiya isloxotlaridan kuchli ximoyalanish.
222,Neutral,Ancha buldiku baribir usha quruvchiga berishyapti yulini qilib
223,Neutral,"Yendimi shundayam tanish bilish orkali busa kerek albatta Diskaver interinjirening
yen yogligini osakerek"
224,Negative,Baribir yulini topadi bular bitta tel xal buladi
225,Negative,Bunisinixam yulini topadi uzbeklar tanish bilish kilishga
226,Neutral,Yo’lini topasla
227,Neutral,"Barbir puldorlarni rag'batlash bu avval qiziqtirasila kiyin xususiylashtira
sila kiyin yana davlatga qaytarasila
urganib ketdik dumimizni o'ngdanmi chapdanmi barbir aylantirib o'zimizga tishlatasilar"
228,Negative,Barbram joxaket hi xo‘jaket yo‘ee akfaket boree artelkentga ruxsatsiz krolmaydi 
229,Negative,Baribir yulini topishadi korrupsiyani
230,Neutral,Yesli mojno Podrobno pojaluysta!
231,Neutral,Ishqilib majburiy oʻzini xisobidanmasmi?
232,Negative,Majburiy pulikka oʻtkazadi
233,Neutral,UKISh PULLIK EMASMI
234,Neutral,"Tibbiyot oliygohlariga kirishdagi har xil imtiyozlarni, superkontraktla
rni yo'qotinglar birinchi."
235,Neutral,"Mani onamla , Alloxraxmat kilsin ularni, 1941 yilda ToshMIni tugatganla, professor Slonim dars berardi derdila. Shu professor aʼlo baxoga javob bermagunimizcha kayta-kayta imtixon kilaverardi dirdila. Patalogo-anatom
iya fanida esa xakikiy ulik bilan ishlardik, kechasi 11-12 largacha morgda kolib ketardik, bir kulimizda pinset, ikkinchisi non bulardi. Odamni ichki organlarini urganardik derdila. Mana kanaka ukishgan va ukitishgan bir щamonla ToshMI da. Keyinchalik onamga Uzbekistonda xizmat kursatgan vrach, unvonini berishgan. Xammasi nimani natijasi, albatta usha paytla ukitish sifatining kanchalik yaxshi bulganligining va talab kuchliligining natidasi. Nu i amaliyet xam katia rol uynagan. Xozirchi daoslar ulda- julda, 80% talabalar pulga kirgan va pulga ukishadi. Xakikiy vrach, bulaman diganlari barmok bilan sanalarli.darsd
a yeki telefon titkilab utirishadi, yeki pardoz kilib utirishadi. Uzim kurganman. Yeshligimda opam farzandli bulib kasalxonada yetganlarila 2-3 marta urnilariga leksiyaga borganimda kurganman."
236,Neutral,"superkontraktni
yukotish kerak birinchi navbatda."
237,Negative,Super kontraktda o'qivotgan bo'lajak doctorlar yaqinda bitirib ishga kiradi. Ichimiz apteka bb ketuvdi uzi endi nima bolakan‍️
238,Neutral,Xususiy otm kupaysa rakobat buladi.shunda uz uzidan talim sifati oshadi.chet Elda ukishga kirish kiyin emas ekan.uyogiga obketsa buldi.bizdachi Bir uringa kancha nomzod.
239,Neutral,Itak dengi vezde plotim chto za novost
240,Negative,"Mana Sizga yangi Uzbekiston kaddingni ur uzbek!!!Meditsin
amiz shundogam orkada kolib ketgan zur ish bupti puling bulmasa ulib ketaver digani bu.....exxxx afsus....."
241,Negative,"Puli bor yashaydi
Puli yuk uladi deb aytinglar yaxshi tushunarli buladi."
242,Negative,Qimachilik xidi kelyapti mablag tuplash uchun katta katta pul kerak .
243,Neutral,Xammasi utovirsin. 100% kopleydiku
244,Negative,"Bunaka sistemaga gullab yashnagan davlatlar utadi vrachi, ukituvchisi, nogironi xor davlatlarmas...
."
245,Neutral,Davlat tibbiyotga pul ajratmasa Xalk tulagan soliklar kayga ketyapti
246,Neutral,"xukumat xam uzini moliyalashtirishga
utsa bulardi"
247,Neutral,Oʻlib ket degani bu
248,Neutral,U siz ham hamasi pulik yotogdan tortib dori darmongacha
249,Neutral,Oʻtib boʻlganku ayrimmish
250,Negative,Shunaka kilib Musayev raxmatli SSV ni barbod kildi....
251,Neutral,Pulga tiqilib oʻlsin shunaqa qarorlar chiqarayotgan meshqorin vijdonsizlar
252,Negative,xamma narsaga pul tulasak bizga bu davlat va prezidentni nima keragi bor?
253,Negative,Suv pul gaz pul musor pul kvadratiz pul svet pul tulet pul xa nima bupti xudoga shukur xavo tekin tuyib tuyib nafas olamiz asablarni asraymiz
254,Negative,Gorzdrav Minzdrav katga karidi unda ?
255,Negative,Endi puling bulsa yashaysan puling bulmasa ulasan.
256,Negative,"Byudjetnichi, uzlaring bulib olasilarmi? Biz soliklarni nimaga tulayapmiz? Endi ochikchasiga karokchilikka utdilaringmi?"
257,Neutral,Soliklar xam uzini uzi moliyalashtirsin
258,Neutral,fakat tibiyot yemas boshka soxalarni xam utkazish kerak
259,Negative,xech qaysi ish xalq uchun boʻlmayapti faqat raxbarlar uchun
260,Negative,Tibbiyot xodimlar maoshi 1000 $ bo'ladi degandi xali maoshdan darak yo'q Allaqachon davlat o'yindan chiqib oldimi? Bu buvingni #mini olasan 1000 dollar olasan degani
261,Neutral,Dune barcha burchagida Medetsina pullik xox kambagal xox boy Davlat bulsin bu tugri yul.... Fakat sifatli malakali vrachlar bulishi kerak...
262,Negative,"Shundog’am o’zini-o’zi moliyalashtirib
yotibtiku, glavrachlar xodimlardan kuniga pul terib yotadi, battar qimanglar vaziyatni"
263,Negative,Ahmoqgarchilik
264,Neutral,Demak pullik bularkanda
265,Negative,Bosingzar xammasini pullik kib
266,Negative,Juda yomon qaror boʻbti
267,Negative,Nogironligi bor bolla uje pul tulab yetibtiku boltnitsalada undan yemoni bumidi
268,Negative,Xuddi oyliklar balanddek somni qadri dollardan balanddek xammayoq pullik ‍️surish kerakmikan
