idx,Score,Text
97,Positive,Tashakkur baraka topinglar !
98,Neutral,Tashbaqa uchmaydi
99,Neutral,Tashbaqa uchmaydi
100,Neutral,Tashkentliklarmi?
101,Neutral,Taʼsirli video
102,Negative,Taslim bo’lissh  degan lug’at bo‘lmagan ekan  yoshi bir joyga borsa ham faoliyatini to‘xtatmabdi .
103,Negative,Tavba
104,Negative,Tavba odamlarga nima boʻldi Tavba
105,Neutral,Tavsiyalar uchun rahmat
106,Neutral,Tele kanalarga ham qoʻyinglar
107,Neutral,Telegram: Contact @bizneessladyy
108,Neutral,Televizor bu-Dilbuzar...
109,Positive,TEMURBEK ALLOHIM ISHLARINGIZGA BAROKAT BERSIN YANGILIKLARNI ZÒRINI SIZLARDAN KUTIB QOLAMIZ
110,Positive,TEMURBEK ALLOHIM ISHLARINGIZGA BAROKAT BERSIN YANGILIKLARNI ZÒRINI SIZLARDAN KUTIB QOLAMIZ
111,Neutral,Teng tengi bilan tezak qopi bilan
112,Negative,tentakxonakuuu
113,Neutral,Tesha Muminovning oʼgʼli ham yaxshi pul topadi shekilli  kasal boʼlib qolgan ekan da
114,Positive,Testere Nejmi tog'ri ish qilgan.
115,Negative,TFFFUUUU UZB KINOLARIGA
116,Positive,Thailand ham hiddi shunaqa uka !Bitta America emas Turkia turistik joylari ham huddi shunaqa !
117,Negative,This is haram haram haram
118,Neutral,Thomas Larry Thompson Brenda Gonzalez Melissa
119,Neutral,Til ojiz
120,Neutral,Tilimizga ehtiyot bolilik
121,Positive,Tilimizni tiyishni kop narsani bilarkanmiz
122,Positive,Tinchlik xotirjamlik bo'laversin
123,Positive,Tinchlik xotirjamlik bo'laversin
124,Positive,Tishingni ko'rsatmay gapir
125,Negative,To‘g'ri aytishadi qimirlagan jon borki  rizqi ollohning zimmasidadir.
126,Negative,To‘liq o‘zbekcha gapirishni o‘rganib olinglar.
127,Positive,Tochna uziim guvohman
128,Positive,Togri
129,Positive,Togri
130,Positive,Togri
131,Positive,To'g'ri
132,Positive,Togri aytibsan xozir Rossiyani suv bosyabdi
133,Positive,Togri aytibsan xozir Rossiyani suv bosyabdi
134,Positive,Toʻgʻri ishlangan bu serial chunki bu xayotda boʻladigan narsa zoʻr xayotdagi noshukur iflos ayollar ga tegishli
135,Negative,To'g'risi menga yoqmadi
136,Positive,Tõğrisi olgan vidieolariz judayam ta'sirli chiqibti õziyam rosa yiğladim
137,Positive,Toʻgʻrisi  biz koʻrganimiz 13 minutgina-yu  biroq buncha hajmga kelguncha qancha izlanishlar  qancha mehnat yotibdi. Ofarin.
138,Negative,Tõğrisini aytganda bu malumotlarga ishonish qiyin ikki marta kõrganman ohirigacha bilmadim qayerdan olgansiz bu malumotlarni
139,Neutral,Tojikistondagi sarez ko'lidan to'ldirsa boladimi shu haqida video tayyorlab chiqaring
140,Neutral,Tojikistondagi sarez ko'lidan to'ldirsa boladimi shu haqida video tayyorlab chiqaring
141,Neutral,To'ldirish mumkin men ishonman va harkat qilman
142,Neutral,To'ldirish mumkin men ishonman va harkat qilman
143,Positive,Tolib Muminov judayam samimiy va haq yo'lli aktyor o'ynagan rollari judayam ibratli
144,Negative,Tolib oʻzini chuda katta oladida
145,Neutral,Toʻligʻi qayerda bor oʻzbekchasi
146,Neutral,Tolsin
147,Neutral,Tolsin
148,Neutral,Toʻlsin 
149,Neutral,Toʻlsin 
150,Negative,Tomchilab sugorishga utsak suv muammosi bulmaydi
151,Negative,Tomchilab sugorishga utsak suv muammosi bulmaydi
152,Negative,Topgan ichinga qo..... Chnaqaqilib pultopib yeysanlarmi ifloslar
153,Neutral,Topless dan ogirlamidingizmi 
154,Neutral,Topless dan ogirlamidingizmi 
155,Positive,Toʻppa togʻri 
156,Positive,Tõppa tugri
157,Negative,Toqma bosa bir sovol nega kinoda bogan voqya hoyotayam bop turpt bu galatimasmi
158,Positive,Tortib kelolamiz ollox yol bersa
159,Positive,Tortib kelolamiz ollox yol bersa
160,Negative,Toshkenlila munada qmid asosan ozidan Toshkenlini yasavoganla qlad bunaqa ishlan
161,Positive,Toshkentda tungi hayot ham Amerikadan qolishmaydi
162,Negative,Toshkentliklar juda bunchalik bas. Taqvo va ehson bo'yicha boshqa viloyatlardan ancha o'zib ketishgan.
163,Negative,Toshkentliklar.odamgarligi.yõq.ular.mol.farast.va.iflos.odamlar.ular.birovga.salom.birmaydi.va.mehmon.xona.surasang.indamay.eshak.day.hangrab.õtib.ketadi.toshkenliklar.bizni.dushmanimiz.ular.uchun.samarqand.eshigi.bugun.dan.va.erta.dan.vafshi.yopiq.kem... 
164,Negative,tovba
165,Negative,Toxir Malikki Shaytanati qaşqirladan ança yaxshi.
166,Neutral,Toшкенлими вилояатдами имони булсин хаммани пожарами текширилсп 90 фоиз бирдан кучиб келган бу ертага аллохни ерларидир биз бу ертага бекчиз хамиамизга у бир тарафга кетамиз биз мехмонмиз солих амаллар билан кетайлик.
167,Neutral,traktirchilani davri keldi
168,Neutral,tufliga
169,Neutral,Tufliga boring Oka 
170,Neutral,Tufta malumot
171,Neutral,Tugri yul mawaqqatli buladi.
172,Neutral,Tugrisi har kimga uz vatani aziz lekin vatanida qorni tuymasa chetga chiqaman deydida har joyni qilma orzu har joyni bordir toshi tarozisi ammo ish bulmagandan keyin yoshlarimiz ketmoqda
173,Positive,Tugrisi kuzimga yosh keldi oila ustun baribir
174,Neutral,Tuliqi yuqmi
175,Negative,Tungi kapalaklsr yo'g'mi narxi qancha
176,Negative,Tupkiya kinosida oxirgi maqsad  ilgari surilgan ĝoya yoq.Shundanmi menga yoqmaydi.
177,Negative,Tupoy ekanini bildirib kelasande ushyarga xam qizilda otib
178,Negative,Tupurdimotaturka
179,Neutral,Ture mishqi karillagincha borib soliqlaringdi to'lab qo'y 
180,Neutral,Turk birligi haqida ham iltimos🇹🇷🇺🇿🇦🇿🇰🇿🇰🇬🇹🇲
181,Positive,Turk birligi qurilsa InshaAlloh yahshi boladi
182,Positive,Turk millati juda kuchlimz Alhamdulillah
183,Positive,türkeylerni ətəsi Özbeklerə səlemler 🇦🇿🇹🇷
184,Positive,türkeylerni ətəsi ÖZBƏKlerə səlemler. 🇹🇷🇨🇾🇹🇲🇦🇿
185,Positive,türkeylerni ətəsi ÖZBƏKlerə səlemler. 🇹🇷🇨🇾🇹🇲🇦🇿
186,Positive,Turkistonni tiklash bu muammolarni echishni tezlashtiradi. Biz birlashsak juda kup muammolar uz - uzidan echim topadi va xafsizlik tula taminlanadi. Turkuston bizni porloq kelajagimiz buyuk tariximiznj adolatli tiklash xamdir.
187,Positive,Turkistonni tiklash bu muammolarni echishni tezlashtiradi. Biz birlashsak juda kup muammolar uz - uzidan echim topadi va xafsizlik tula taminlanadi. Turkuston bizni porloq kelajagimiz buyuk tariximiznj adolatli tiklash xamdir.
188,Neutral,Turkiya mamlakati qaytadan Abdulhamidxon davriga qaytib
189,Neutral,Turkiya prezidenti Erdogan mi oʻrtada otirgan
190,Neutral,Turkiya tarixiy tajribasi bizga kop yordam berishi mumkin
191,Neutral,Turkiyadagi tontarilish 15TEMMUZ kuni bolishidan 3 oycha avval aynan shu kinoda "Man bu koprikni qolga olaman gozalligiga qarab toyvol" digan joylari bor. Kinoni yopilib ketishiga asosi sabab ham aynan shu narsa. Admin kop malumotlani chetda qoldirgan balki bilmas balki qorqar. Bu kinoga Feto niyam qoli bor diyiwadi. Hullas kinoni juda koooop joylari hayottan olingan. XATTO BIR QANCHA BASHORATLARAM QIGAN masalan Ukraine Russia urushi falastindegi xozirgi xolat. XATTO uzb qamoqxonalariniyam gapirilgan bu kinoda. Hullas gap kop admin kichkina mavzu qibqoyibdi
192,Negative,Turkiyadayam kotlar kop boganakanda xoinlar bizi xonliklada bogani kabi
193,Negative,Turkiyani yaxshi bilmasangiz Odamlarning miyasiga qurt tashaman Mustafo Kamol Ataturk Yomon Lider bolsa 23 mamlakatda nega haykali qoyilgan? Videoingizga 00000baho
194,Positive,Turkla biladi faqat haqiqat
195,Neutral,Türkmas Kürt Necati Şaşmaz Polat Alemdar rolini óynagan
196,Positive,Turmush urtogim Amerikadala yomon yuldan asrasin ollohim
197,Neutral,Turon xali yana birlashadi
198,Negative,Tuz havoga kòtarilishi kam bòlar edi.
199,Negative,Tuz havoga kòtarilishi kam bòlar edi.
200,Negative,U
201,Negative,U bu deymiz bilganimizni qilamiz daryoni tinch qo'yayli bo'ldi
202,Negative,U bu deymiz bilganimizni qilamiz daryoni tinch qo'yayli bo'ldi
203,Negative,U kinoni oxiri yoqkuu
204,Positive,u yerdagi insonlarni orasida uzbek yigitlarimiz ajralib turibdi kuz tegmasin
205,Negative,U zazaqistan va qaragolpoqistan b.n chegara
206,Negative,U zazaqistan va qaragolpoqistan b.n chegara
207,Neutral,Uch marta korganlar bormi
208,Positive,Uchta oglim bor ILLOHIM OGILLARIM HAM SHU UNSONGA OXSHAB ELGA HALQQA MANFAATLI INSON BOLSIN
209,Positive,Udar
210,Positive,Udar birat
211,Positive,uhblaaaa shu temani ozbekchasi bormi dib yurardim boshqalarda korib malades
212,Neutral,Uka choqinib tashlagan bolsen kerak gapindan malum qogozga orab gapirish kerak 
213,Neutral,Ukalar u yerga bormanglar silar ham nas bosasilar
214,Positive,Ukalarim malades haqiqiy hayoti koʻrsatib silar rahmat
215,Neutral,Ukam bosssiiiing gaziga Surxondaryodan bitta laayyykkk
216,Positive,Ulani hayoti bowqa di i bowqa bizaniki bowqa yomon kament yozmela kormagan bilmagan joyimzani korsatiwvoti yaxshiku
217,Neutral,Ular Abdulla Chatli bilan Xoqon Fidanni bir odam deb o'ylashadi  nima uchun deb o'ylar ekan  Abdulla Chatlinining avtohalokatga uchragan mashinasi bilan Xoqon Fidanining mashinasidagi nomeribir xil.
218,Positive,Ular xotirjam boʼlaolmagani uchun yigishad.Alloxga tavakkal qilsa rizq Alloxniki beradi
219,Neutral,Ular xotirjam boʼlaolmagani uchun yigishad.Alloxga tavakkal qilsa rizq Alloxniki beradi
220,Negative,Ularni hayoti " bir kunlikka" o‘xshaydi. Astag‘firullo olloh asrasin
221,Negative,Ularni ichida yursang imondan ayrilasan. Yaxshisi u joyga borish kerakmas
222,Negative,Uldimiyy
223,Negative,Ullaring endi shuni olibchiqdilarmi esiz tv
224,Neutral,Ummatga erbakan juda kerak shu onda
225,Neutral,Ummatning 100 buyuk shaxsi kitobida bormi shu hikoya
226,Neutral,Ummuman noto‘g‘ri malumotlar  Abdulloh Chatli Erdog‘an proekti bo‘lgani Asala tashkilotini o‘ldirgani  parijda asalaning oxirgi azosini metroda o‘ldirgani haqidagi malumotlar qani? Asala tashkiloti malumot uchun serialdagi karahanliy uyushmasi edi buni erdog‘anni o‘zi tasdiqlagani haqidagi videolar bor
227,Neutral,
228,Positive,Umringiz uzoq bòlsin
229,Positive,Umriyni Olloh belgilaydi segaretmas mani dodam 93 ga kiradi chekadi haliyam
230,Positive,Umriz uzoq bo'lsin
231,Positive,Umriz uzoq bolsin xamiwa sog boling
232,Neutral,Umrizdan baraka toping
233,Positive,Umuman aloqasi yoʻq Chatli patliga Poʻlat Alemdardi
234,Negative,Umuman hamma haqida ... 
235,Neutral,Umuman ma'nosiz turgan bitgani ziyon mantiqsiz serialla uyimda shuning uchun televizor yo'q ko'rsen asabin buziladi shunaqa rollani o'ynab betvotgan artislaga ham hayronsan zarracha tafakkur qimasmikan man o'zi nima ish qivomman dip qatga qarab ketvomman bu sneraniyni maqsadi va ma'nosi nimaga yetaklidi dep odammi rosa so'kib yozgisi keladi negativ ammo o'zimmi bosib yozdim
236,Negative,UNCHALIK UXSHASHLIK YUQ
237,2,Unda Abror muhtor aliy yolgon gapiriptida a 
238,Neutral,Unda sizni investorlikka taklif qilamiz 
239,Neutral,Unda sizni investorlikka taklif qilamiz 
240,Neutral,Unda ukahon nega siz sayr qip yuribsiz?
241,Positive,Undan oldingi videoda iltimos qiganidim raxmat malumotlar uchun
242,Neutral,Uni to'ldirish shart emas. Dunyoni suv bossa to'lib toshib ketadi.
243,Neutral,Uni to'ldirish shart emas. Dunyoni suv bossa to'lib toshib ketadi.
244,Neutral,Uning Gazallari Bolsham Yozing
245,Neutral,Univerlarga borib sayohat qilib oka
246,Neutral,universitetlari birinchi o’rinlarda turadi. Holat tugri kemayaptiku
247,Neutral,USA da uqish  urganish uchun borsa yaxshi  bulmasa buzilib ketish hech gapmas
248,Neutral,Usha paytlar ham svet bulganmikin 200 kv limit quyadigan amaldorlar usha paytlarham buganmikin
249,Neutral,Usmon vijdon bormi sanda erkaymisan xotininga qara gòr pul bòsin
250,Neutral,Usmoniylarning so’nggi vakili Mehmed VI
251,Neutral,Ustaz
252,Positive,Ustoz Akmal Mirzo yaxshi odam. Kamchilik hammada boʻladi. Foydali boʻlibdi.
253,Positive,Ustoz Muhammadali Eshonqulov va ustoz Abdulaziz Muhammaddan Allah rozi bo'lsin .
254,Neutral,Uwa buliwi mumkin korirtirilib qahramonlashtirilgan manimcha
255,Neutral,Uxlaganm yaxw. Kino kormiy
256,Positive,Uxx zor iwlabdiyu
257,Neutral,uyam mumkindr
258,Neutral,uyat
259,Negative,Uyimizda shunaqa voqealar kup buladi Uzbek man deb karillaydi insonni qadrini bilmaydi
260,Neutral,Uyini
261,Neutral,Uylaganizdan kop
262,Negative,UZB dan borgan okamiz:bla bularning bir otim noschalik boʻlmYdi
263,Negative,UZB ga kelmang UZB da pulsizlik va iwsizlik avj olgan
264,Negative,Uzbek ga xomak kup
265,Negative,Uzbek kinolariga oxwagan manosi yoq dalbayob rolik ekan
266,Negative,Uzbekistan ga shunday pirizden kerak
267,Negative,Uzbekistan zzzz
268,Positive,Uzbekiston jannat baribir
269,Positive,Uzbeklar haqida ham chiqaring Sh  Rashidov masalan .shunga uhshash
270,Neutral,UZBEKPARCHA
271,Neutral,Uzbigiston gulab yashnardi bu loyiha amalga oshsa
272,Neutral,Uzbigiston gulab yashnardi bu loyiha amalga oshsa
273,Neutral,Uzi bu suka hayotdan ham yeban odam shakil
274,Neutral,Uzi kalyan chakib aqil urgatadi
275,Neutral,Uzi qanday kelgan ekana
276,Positive,Uzimizda ham bundan battar joylar bor bizlar tugulib usgan joy bulgani uchun uzimiz uchun bilinmaydi
277,Neutral,Uzooqda uydan bollaridan kecib iwlab yurgan odamlarga hudoyim kuc quvvat hojayinlariga insof bergin ilohim
278,Positive,Uzoq kutilgan dastur! Alloh kuch va quvvat bersin  to‘g‘ri yo‘lida bardavom qilsin!!!
279,Positive,Uzoq kutilgan dastur! Alloh kuch va quvvat bersin  to‘g‘ri yo‘lida bardavom qilsin!!!
280,Neutral,Uzur kechirasiz isloh nima degani
281,Neutral,Uzur Omad!
282,Neutral,Uzuringni aminga tiq
283,Neutral,V Uzbekistane bolshe pokazyvat’ nechego ???
284,Neutral,Va alaykum asalom
285,Neutral,Va alaykum assalom
286,Neutral,Va alaykum assalom va rohmatullohu va barokatuh barcha salom berganlarga
287,Neutral,va alaykum assalom varohmatullohi va barokatuh
288,Neutral,Va aleykum assalam
289,Negative,Vachach oʻzlari mazza qilib aylanib yuradi lekin videoda domla 
290,Negative,Vam uje PENSIYA
291,Negative,Vapshe yoqtirmiyman shu Mustafa Kemalni
292,Negative,Vapshi zor
293,Negative,Vapwe gapiriwni bilmaydi bue muhim narsalani op chiqadi lekin qaerda chozib qaerda toxtab gapiriwni bilmaydie chunib bomaydi. Bazi gaplarini qayta qayta ewitw kk hulas vapwe munir
294,Negative,vapwe yebanuti tushnarsz ano ac kari o’zini oqlorb skvordi
295,Neutral,Vapwi zur gap boliwi mumkinmas
296,Negative,Vaqt haqida video chiqaring hozirgi zamon odamlari vaqtning qadriga yetmaydi har kun oxirida bugun nima o'rgandim bugunki kunim isrof bo'lmadimi tezroq o'tsin degan kunimiz bizning umrimiz shunga o'xshagan yani kutib qolaman
297,Negative,Vaqtizni bexuda ma'nosiz õtkazmoqchi bõlsan albatta seryalkõring
298,Positive,Vatan uchun jon fido qilgan.
299,Neutral,Vau zorr podcast
300,Neutral,Vay Temur ozibdi
301,Neutral,Vay Temur ozibdi
302,Negative,vayyy jalappp
303,Positive,Vedio tayyorlaganlarga katta rahmat Alloh rozi bulsin
304,Neutral,Veloyat ajratgandan kira uzingga boq
305,Neutral,Ves amerikadagi politsiya uzbekiston militsiyasidan ancha oz
306,Neutral,1
307,Positive,Video ga gap yoo 
308,Positive,Video uchun rahmat. Anavi toshqin suvlarini orolimizga tog'rilashsa  judayam yahshi bo'lardi. Vallohu a'lam.
309,Positive,Video uchun rahmat. Anavi toshqin suvlarini orolimizga tog'rilashsa  judayam yahshi bo'lardi. Vallohu a'lam.
310,Negative,Video yaxshi lekin ancha saviyasi pastro Poʻlat Alemdar Abdulloh Çatlini real xayotdagi koʻrinishi bu aniq 
311,Positive,Video yoqti
312,Positive,Video yoqti
313,Positive,Videoga gap yoʻq
314,Positive,Videoga gap yoʻq Super. Alloh Rozi boʻsin
315,Positive,Videoni davomini xam chiqoring Maxmud aka
316,Neutral,Videoni thumbnail lidan boshlab shu faqat odamlarni etiborini olish uchun yarim yolong’och qizlarni qoyib yana kamiga befoyda kontent qilishni nima keragi bor? Bunaqa video qilmasang ham kopchilik bilishadi Amerika qanaqa ma’siyatga tola ekanligini. Yana ora orada Ollohni ismini tilinga olasan  qilayotgan ishing foxishalarni korsatishdan boshqa narsa emas. Undan kora biron yaxshi oqishda oqiyotgan studentlar   yoki yaxshi biznes egalari bilan intervyu yoki fikr almashadigan video qilish kerak. Bilaman bu narsa qolingdan keladi uka! Ozingni ham boshqalarni ham gunohkor qilma bunaqa befoyda videolar bilan.
317,Neutral,videoning nomini buyoda bar  buyoda bar  buyoda elisalar deb nomlasela bolarkan ko'p takrorladila
318,Neutral,Vidyo boxona diydor gʻanimat 
319,Positive,Vidyo yaxshi chiqibdi mening fikrimcha uncha katta kanal qurmay eniga uch m chuqurligi ikki m bo‘lgan kichkina kanal qurib uning suvini yo‘lda hech kim olmay faqat orol dengiziga quyish kerak bir yilda bo‘lmasa ikki yilda to‘lardi unga uncha ko‘p ham mablag‘ ketmasdi O‘zbekistonning o‘zing moliyaviy axvoli ham yetsa kerak
320,Positive,Vidyo yaxshi chiqibdi mening fikrimcha uncha katta kanal qurmay eniga uch m chuqurligi ikki m bo‘lgan kichkina kanal qurib uning suvini yo‘lda hech kim olmay faqat orol dengiziga quyish kerak bir yilda bo‘lmasa ikki yilda to‘lardi unga uncha ko‘p ham mablag‘ ketmasdi O‘zbekistonning o‘zing moliyaviy axvoli ham yetsa kerak
321,Neutral,Vooo
322,Neutral,Voy qachongacha shu qaynona kelin mojorosi narmanli kino hechqachon olinmasa kk uzbda
323,Neutral,Voy qolimga tushgin mazza qib urardim sandaka buzuqlani noshukur oynash oynagan musurla
324,Neutral,Vshsh
325,Neutral,Vuyyyyy juda kuchli gap judayam! Assalomu alaykum
326,Negative,Warmanda
327,Neutral,Wiseguy Америка серялидан угирланган
328,Neutral,Wolf of wall street kinosi shoʻtta olinganmi
329,Neutral,Wonderful. Thanks for the useful information 
330,Neutral,Wu kino nomi nima
331,Negative,Wu mavzuni kopro hamma ewitsa Xalqaro muhokama qilinsa balki natija bolar
332,Negative,Wu mavzuni kopro hamma ewitsa Xalqaro muhokama qilinsa balki natija bolar
333,Negative,Wuncalar kop gapirdzki ewitib men qiynaldm qay voqt ulgurayapsz nafas oliwga 
334,Neutral,Xa
335,Neutral,Xa
336,Neutral,Xa
337,Neutral,Xa bolgan
338,Neutral,Xa bollar biza chakmimiza dislarmi
339,Neutral,Xa bor
340,Negative,Xa bu osha Abdulloh Chatlini xayoti va qilgan ishlariga biroz bortirish va obriz qoshib ishlangan serial shaxsiy fikrim
341,Negative,Xa bu xayotda xama narsa bub turadi lkn xiyonat kechirlmaydi
342,Negative,Xa hamma ishlarimda kamchilik bor
343,Negative,XAA BULARNIYAMM 15 SUTKAGAA QAMASHADIMI ?? XALIGI IKKI BLOGERLANI QAMASHIBTIYU BULARGA CHORA KURILMIYDIMI SHUNDAA ??
344,Neutral,Xaaa bordaa
345,Neutral,XAAAA AKAAA
346,Neutral,Xali if...s Soliqchi Mirzomi ?
347,Neutral,Xalifa qurayshdan bo’ladi !!!
348,Negative,XALQNI LOYGA BOTIRGAN ODAM BIROVNI XURMATINI BILARMIDI OGZINI YORIB QUYMADIDA XALQNI NOMIDAN XAM JAVOB BULARDI
349,Positive,Xama America yomonlagan kaminta nma uzimizda deskateka barlar yuqmi foxwa xonala yuqmi tik tokta ochiq oydin adresin aytiyapti musurmon davlata wu axvol America milati bowqaku
350,Positive,Xamazni aloh asrasin
351,Neutral,Xamir qilishni bilarmush magʻrurlanishi
352,Positive,Xamisha yurtimizda wunaqa xaqiqiy erkak  musulmon oilasi un jonini beradigan insofli odamla kupaysin...afsuski.?
353,Negative,Xamma agresiv
354,Positive,Xamma farzandini Illimli qisa shining ozida findament Baquvat boladi Quroni yodladish Kerry Shunda adashmidi OLLOXU AKBAR.
355,Neutral,Xamma narsada bir xikmat bor agar loyxa o‘xshaganda balki bundan xozirgi vaqtda qurol sigatida foyfalngan bo‘larmidi Russiya
356,Positive,Xamma narsada bir xikmat bor agar loyxa o‘xshaganda balki bundan xozirgi vaqtda qurol sigatida foyfalngan bo‘larmidi Russiya
357,Neutral,Xamma qismlari yugʻu
358,Neutral,Xamma semizmi
